ds,prediction,actual 
28/04/2024,36.87,33.4
29/04/2024,37.73,31.6
30/04/2024,38.08,31
,,
,,
ds,prediction,actual 
01/05/2024,38.04,29.2
02/05/2024,36.79,33.8
03/05/2024,37.31,35.1
04/05/2024,37.55,37.2
05/05/2024,38.08,37.7
06/05/2024,38.94,40
07/05/2024,39.3,41.1
08/05/2024,39.25,42.3
09/05/2024,38.01,40.1
10/05/2024,38.52,38.2
11/05/2024,38.76,37.4
12/05/2024,39.3,34.6
13/05/2024,40.16,37.8
14/05/2024,40.51,39.8
15/05/2024,40.47,41.6
16/05/2024,39.22,42.9
17/05/2024,39.74,43.4
18/05/2024,39.98,43.5
19/05/2024,40.51,42.4
20/05/2024,41.36,43.5
21/05/2024,41.71,44.1
22/05/2024,41.66,43.9
23/05/2024,40.4,42.6
24/05/2024,40.9,42.7
25/05/2024,41.12,42.4
26/05/2024,41.6,44.5
27/05/2024,42.41,45.4
28/05/2024,42.71,46.1
29/05/2024,42.62,45.6
30/05/2024,41.26,44.5
31/05/2024,41.66,45.1
,,
,,
ds,prediction,actual 
01/06/2024,41.79,44.3
02/06/2024,42.15,43.7
03/06/2024,42.84,44.5
04/06/2024,43.02,43.2
05/06/2024,42.75,39.5
06/06/2024,41.29,36.9
07/06/2024,41.58,38.2
08/06/2024,41.6,38
09/06/2024,41.88,40.6
10/06/2024,42.48,42.4
11/06/2024,42.58,43.7
12/06/2024,42.25,44.9
13/06/2024,40.71,43.5
14/06/2024,40.94,43.2
15/06/2024,40.89,43.1
16/06/2024,41.12,44.9
17/06/2024,41.67,45.3
18/06/2024,41.71,44.1
19/06/2024,41.36,41.6
20/06/2024,39.81,39.4
21/06/2024,40.01,35.6
22/06/2024,39.94,39.3
23/06/2024,40.17,41.7
24/06/2024,40.72,42.9
25/06/2024,40.76,42.5
26/06/2024,40.41,43.8
27/06/2024,38.86,38.4
28/06/2024,39.06,39.5
29/06/2024,38.99,39.7
30/06/2024,39.22,39
,,
,,
ds,prediction,actual 
01/07/2024,39.77,36.4
02/07/2024,39.81,39.7
03/07/2024,39.46,39.3
04/07/2024,37.9,32.7
05/07/2024,38.11,34.5
06/07/2024,38.04,31
07/07/2024,38.27,32.2
08/07/2024,38.82,36.4
09/07/2024,38.86,36.7
10/07/2024,38.51,37.7
11/07/2024,36.95,37.9
12/07/2024,37.16,36.6
13/07/2024,37.09,35.3
14/07/2024,37.32,37.6
15/07/2024,37.87,38.8
16/07/2024,37.91,39.8
17/07/2024,37.56,38
18/07/2024,36,37.1
19/07/2024,36.21,40.4
20/07/2024,36.14,40.8
21/07/2024,36.37,39.8
22/07/2024,36.92,37.9
23/07/2024,36.96,35.8
24/07/2024,36.61,36.7
25/07/2024,35.05,37.2
26/07/2024,35.26,37.3
27/07/2024,35.19,37.2
28/07/2024,35.41,33.4
29/07/2024,35.97,32.6
30/07/2024,36.01,32.3
31/07/2024,35.66,30.1
,,
,,
ds,prediction,actual 
01/08/2024,34.1,28.8
02/08/2024,34.31,28.5
03/08/2024,34.24,29.8
04/08/2024,34.46,32.6
05/08/2024,35.02,31.1
06/08/2024,35.06,30.8
07/08/2024,34.71,37.2
08/08/2024,33.15,33.8
09/08/2024,33.36,35.9
10/08/2024,33.29,35.7
11/08/2024,33.51,38.2
12/08/2024,34.07,40.2
13/08/2024,34.11,38.5
14/08/2024,33.76,
15/08/2024,32.2,
16/08/2024,32.41,
17/08/2024,32.34,
18/08/2024,32.56,
19/08/2024,33.12,
20/08/2024,33.16,
21/08/2024,32.81,
22/08/2024,31.25,
23/08/2024,31.46,
24/08/2024,31.39,
25/08/2024,31.61,
26/08/2024,32.17,
27/08/2024,32.21,
28/08/2024,31.86,
29/08/2024,30.3,
30/08/2024,30.51,
31/08/2024,30.44,
,,
,,
ds,prediction,actual 
01/09/2024,30.66,
02/09/2024,31.21,
03/09/2024,31.26,
04/09/2024,30.91,
05/09/2024,29.35,
06/09/2024,29.56,
07/09/2024,29.49,
08/09/2024,29.71,
09/09/2024,30.26,
10/09/2024,30.31,
11/09/2024,29.96,
12/09/2024,28.4,
13/09/2024,28.61,
14/09/2024,28.54,
15/09/2024,28.76,
16/09/2024,29.31,
17/09/2024,29.36,
18/09/2024,29.01,
19/09/2024,27.45,
20/09/2024,27.66,
21/09/2024,27.59,
22/09/2024,27.81,
23/09/2024,28.36,
24/09/2024,28.41,
25/09/2024,28.06,
26/09/2024,26.5,
27/09/2024,26.71,
28/09/2024,26.64,
29/09/2024,26.86,
30/09/2024,27.41,
,,
,,
ds,prediction,actual 
01/10/2024,27.46,
02/10/2024,27.11,
03/10/2024,25.55,
04/10/2024,25.76,
05/10/2024,25.69,
06/10/2024,25.91,
07/10/2024,26.46,
08/10/2024,26.51,
09/10/2024,26.16,
10/10/2024,24.6,
11/10/2024,24.81,
12/10/2024,24.74,
